,idc_link,course_titles,coupon_links,coupon_url,timestamps
0,https://courses.impodays.com/courses/,Advanced Certificate in Business & Marketing Strategy - Free Online Courses with Certificates,https://courses.impodays.com/advanced-certificate-in-business-marketing-strategy/,https://www.udemy.com/course/advanced-certificate-in-business-marketing-strategy/?couponCode=8EE2A187AE22C07C5D79,2025-05-10 15:45:53.255390
1,https://courses.impodays.com/courses/,AI-Powered Product Marketing and Market Research - Free Online Courses with Certificates,https://courses.impodays.com/ai-powered-product-marketing-and-market-research/,https://www.udemy.com/course/ai-powered-product-marketing-and-market-research/?couponCode=3113612AFD92B2818230,2025-05-10 15:45:54.766103
2,https://courses.impodays.com/courses/,Microsoft Office Specialist: Microsoft Excel Advanced Expert - Free Online Courses with Certificates,https://courses.impodays.com/microsoft-office-specialist-microsoft-excel-advanced-expert/,https://www.udemy.com/course/microsoft-office-specialist-microsoft-excel-advanced-expert/?couponCode=7C14C378CEFE8C505897,2025-05-10 15:45:56.579669
3,https://courses.impodays.com/courses/,Python For Data Science - Real Time Experience - Free Online Courses with Certificates,https://courses.impodays.com/python-for-data-science-real-time-exercises/,https://www.udemy.com/course/python-for-data-science-real-time-exercises/?couponCode=PYTHON_FREE_MAY9,2025-05-10 15:45:58.341475
4,https://courses.impodays.com/courses/,Data Science & Data Analytics Real World Projects - Free Online Courses with Certificates,https://courses.impodays.com/python-data-analytics-real-world-hands-on-projects/,https://www.udemy.com/course/bigdata-analysis-python/?couponCode=PROJECT_FREE_MAY9,2025-05-10 15:46:00.457322
5,https://courses.impodays.com/courses/,"Full Digital Marketing Course 2025: SEO, Paid Ad, GA4, GTM - Free Online Courses with Certificates",https://courses.impodays.com/full-digital-marketing-course-seo-paid-ad-ga4-gtm-email/,https://www.udemy.com/course/full-digital-marketing-course-seo-paid-ad-ga4-gtm-email/?couponCode=41FFADBBAC380E6C9BE6,2025-05-10 15:46:02.613618
6,https://courses.impodays.com/courses/,Data Science Career Path - Free Online Courses with Certificates,https://courses.impodays.com/data-science-career-path/,https://www.udemy.com/course/data-science-learning/?couponCode=6B6EA9B40CFD98A5868F,2025-05-10 15:46:04.481874
7,https://courses.impodays.com/courses/,Financial Modeling Course - Free Online Courses with Certificates,https://courses.impodays.com/financial-modeling-course/,https://www.udemy.com/course/financial-modeling-online-course/?couponCode=80307256A97804455E95,2025-05-10 15:46:06.307091
8,https://courses.impodays.com/courses/,Entrepreneurship and Business Research in Biomedical - Free Online Courses with Certificates,https://courses.impodays.com/entrepreneurship-and-business-research-in-biomedical/,https://www.udemy.com/course/entrepreneurship-and-business-research-in-biomedical/?couponCode=4331D146584E35E4D12E,2025-05-10 15:46:08.615207
9,https://courses.impodays.com/courses/,Big Data Hadoop Course - Free Online Courses with Certificates,https://courses.impodays.com/big-data-hadoop-course/,https://www.udemy.com/course/big-data-hadoop-online-course/?couponCode=BD5EF32431F16FE27F4F,2025-05-10 15:46:10.169950
10,https://courses.impodays.com/courses/,Mastering iOS Development - Free Online Courses with Certificates,https://courses.impodays.com/mastering-ios-development/,https://www.udemy.com/course/mastering-ios-development/?couponCode=187F5965D4ABE6A9D0D9,2025-05-10 15:46:11.961922
11,https://courses.impodays.com/courses/,Professional Certificate in DevOps - Free Online Courses with Certificates,https://courses.impodays.com/professional-certificate-in-devops/,https://www.udemy.com/course/professional-certificate-in-devops/?couponCode=9DD6A7D845AABF9549C0,2025-05-10 15:46:13.854158
12,https://courses.impodays.com/courses/,Complete Agentic AI Bootcamp With LangGraph and Langchain - Free Online Courses with Certificates,https://courses.impodays.com/complete-agentic-ai-bootcamp-with-langgraph-and-langchain/,https://www.udemy.com/course/complete-agentic-ai-bootcamp-with-langgraph-and-langchain/?couponCode=75B4CE0A6DEFC06D58E8,2025-05-10 15:46:15.482138
13,https://courses.impodays.com/courses/,JavaScript 10 Projects in 10 Days Course for Beginners - Free Online Courses with Certificates,https://courses.impodays.com/javascript-10-projects-in-10-days-course-for-beginners-2/,https://www.udemy.com/course/javascript-10-projects-in-10-days-course-for-beginners-w/?couponCode=79CC4D042DFC69C50B94,2025-05-10 15:46:17.263219
14,https://courses.impodays.com/courses/,"Lean & Quality Management, Six Sigma, Continuous Improvement - Free Online Courses with Certificates",https://courses.impodays.com/lean-quality-management-six-sigma-continuous-improvement/,https://www.udemy.com/course/lean-quality-management-six-sigma-continuous-improvement/?couponCode=8DA723B98154A165069B,2025-05-10 15:46:18.832952
15,https://courses.impodays.com/courses/,"Project Management Methodologies: Agile, Scrum, and PMP - Free Online Courses with Certificates",https://courses.impodays.com/project-management-methodologies-agile-scrum-and-pmp/,https://www.udemy.com/course/project-management-methodologies-agile-scrum-and-pmp/?couponCode=EC3EC2C3684EAE844088,2025-05-10 15:46:20.423834
16,https://courses.impodays.com/courses/page/2/,Professional Certificate in SQL and SQL for Data Analysis - Free Online Courses with Certificates,https://courses.impodays.com/professional-certificate-in-sql-and-sql-for-data-analysis/,https://www.udemy.com/course/professional-certificate-in-sql-and-sql-for-data-analysis/?couponCode=4B2B28C7FE4BCBEB80E1,2025-05-10 15:46:23.353669
17,https://courses.impodays.com/courses/page/2/,Build AI Call Assistants: AI Automation Agency with No-Code - Free Online Courses with Certificates,https://courses.impodays.com/build-ai-call-assistants-ai-automation-agency-with-no-code/,https://www.udemy.com/course/build-ai-call-assistants-ai-automation-agency-with-no-code/?couponCode=32A35C03F066615F0D6C,2025-05-10 15:46:25.269243
18,https://courses.impodays.com/courses/page/2/,AI Sales Prospecting: Automate Outreach at Scale with AI - Free Online Courses with Certificates,https://courses.impodays.com/ai-sales-prospecting-automate-outreach-at-scale-with-ai/,https://www.udemy.com/course/ai-sales-prospecting-automate-outreach-at-scale-with-ai/?couponCode=58EAD5B412B8834BC9AA,2025-05-10 15:46:27.069020
19,https://courses.impodays.com/courses/page/2/,Master AI Voice Agents: Automate Calls with AI and No-Code - Free Online Courses with Certificates,https://courses.impodays.com/master-ai-voice-agents-automate-calls-with-ai-and-no-code/,https://www.udemy.com/course/master-ai-voice-agents-automate-calls-with-ai-and-no-code/?couponCode=B18E3FE1603D58762E26,2025-05-10 15:46:28.606954
20,https://courses.impodays.com/courses/page/2/,Cold Email Mastery with AI: Ultimate Lead Generation System - Free Online Courses with Certificates,https://courses.impodays.com/cold-email-mastery-with-ai-ultimate-lead-generation-system/,https://www.udemy.com/course/cold-email-mastery-with-ai-ultimate-lead-generation-system/?couponCode=DANIALMIR,2025-05-10 15:46:30.385189
21,https://courses.impodays.com/courses/page/2/,"Data Quality, Data Management & Data Governance Certificate - Free Online Courses with Certificates",https://courses.impodays.com/data-quality-data-management-data-governance-certificate/,https://www.udemy.com/course/data-quality-data-management-data-governance-certificate/?couponCode=B9BEB49FC4AF8254D2E0,2025-05-10 15:46:32.097932
22,https://courses.impodays.com/courses/page/2/,Advanced Certificate in Program and Project Management - Free Online Courses with Certificates,https://courses.impodays.com/advanced-certificate-in-program-and-project-management/,https://www.udemy.com/course/advanced-certificate-in-program-and-project-management/?couponCode=28AACEA3CEDC5E920AA2,2025-05-10 15:46:33.768459
23,https://courses.impodays.com/courses/page/2/,Professional Diploma in Program Management - Free Online Courses with Certificates,https://courses.impodays.com/professional-diploma-in-program-management/,https://www.udemy.com/course/professional-diploma-in-program-management/?couponCode=6C4BBC482D895A818C14,2025-05-10 15:46:35.578492
24,https://courses.impodays.com/courses/page/2/,From Zero to Pro Data Science & AI Advanced Full Course 2025 - Free Online Courses with Certificates,https://courses.impodays.com/data-science-mastery-complete-data-science-bootcamp-2025/,https://www.udemy.com/course/data-science-mastery-complete-data-science-bootcamp-2025/?referralCode=408994D50F83E213E05F&couponCode=MAY2025BB,2025-05-10 15:46:37.384606
25,https://courses.impodays.com/courses/page/2/,AI Engineering Masterclass: From Zero to AI Hero - Free Online Courses with Certificates,https://courses.impodays.com/ai-engineering-masterclass-from-zero-to-ai-hero/,https://www.udemy.com/course/ai-engineering-masterclass-from-zero-to-ai-hero/?referralCode=339B4E16FB07E6F0EB09&couponCode=MAY2025BB,2025-05-10 15:46:39.579632
26,https://courses.impodays.com/courses/page/2/,The fastest way to become a product manager - Free Online Courses with Certificates,https://courses.impodays.com/discover-the-fastest-way-to-become-a-product-manager/,https://www.udemy.com/course/the-fastest-way-to-become-a-product-manager/?couponCode=RAMINSAMSON,2025-05-10 15:46:41.417697
27,https://courses.impodays.com/courses/page/2/,Advanced Power BI: Expert Data Analysis and Visualization - Free Online Courses with Certificates,https://courses.impodays.com/advanced-power-bi-expert-data-analysis-and-visualization/,https://www.udemy.com/course/advanced-power-bi-expert-data-analysis-and-visualization/?couponCode=018D54C6E3BB19B0AF8A,2025-05-10 15:46:43.261075
28,https://courses.impodays.com/courses/page/2/,AZ-900: Azure Fundamentals Complete Training - Free Online Courses with Certificates,https://courses.impodays.com/az-900-exam-prep-mastering-azure-fundamentals/,https://www.udemy.com/course/mastering-azure-fundamentals/?couponCode=1EB1D52A5359FBA42065,2025-05-10 15:46:44.822890
29,https://courses.impodays.com/courses/page/2/,Product Marketing: Go to Market Strategy - Free Online Courses with Certificates,https://courses.impodays.com/product-marketing-go-to-market-strategy/,https://www.udemy.com/course/product-marketing-and-development-go-to-market-strategy/?couponCode=EC84B6DCC1A7AD036411,2025-05-10 15:46:46.527319
30,https://courses.impodays.com/courses/page/2/,Data Analyst: Professional Certificate in Data Analysis - Free Online Courses with Certificates,https://courses.impodays.com/data-analyst-professional-certificate-in-data-analysis/,https://www.udemy.com/course/data-analyst-professional-certificate-in-data-analysis/?couponCode=3D067B179B97901852E3,2025-05-10 15:46:48.408309
31,https://courses.impodays.com/courses/page/2/,Build a Backend REST API with Node JS from Scratch - Free Online Courses with Certificates,https://courses.impodays.com/build-a-backend-rest-api-with-node-js-from-scratch/,https://www.udemy.com/course/build-backend-api-node-js-and-react-frontend/?couponCode=9D53E465D303DA077A63,2025-05-10 15:46:50.334190
